Id,Area,House,Hospital,Company,Industry,Dated
1,Mumbai,Sharma Villa,Apollo Hospital,Tech Solutions,Information Technology,08-05-2024
2,Delhi,Gupta Mansion,AIIMS,Bright Ideas,Consulting,08-05-2024
3,Bangalore,Reddy House,Manipal Hospital,Sparkle Inc.,E-commerce,08-05-2024
4,Kolkata,Das Residence,Fortis Hospital,Tech Innovators,Software Development,08-05-2024
5,Hyderabad,Kumar Home,Yashoda Hospital,HealthTech Solutions,Healthcare,08-05-2024
6,Chennai,Rajan Residence,Apollo Speciality Hospitals,Innovate IT,Software Development,08-05-2024
7,Pune,Patil House,Ruby Hall Clinic,TechGenius,Artificial Intelligence,08-05-2024
8,Ahmedabad,Desai Villa,Sterling Hospital,GreenTech Inc.,Renewable Energy,08-05-2024
9,Jaipur,Singh Mansion,Jaipur Hospital,Heritage Crafts,Handicrafts,08-05-2024
10,Chandigarh,Sharma House,Max Super Speciality Hospital,DataSprint,Data Analytics,08-05-2024
11,Lucknow,Tiwari Mansion,Sahara Hospital,TechWave,Mobile App Development,08-05-2024
12,Kochi,Nair House,Lisie Hospital,SpiceTech,Food Technology,08-05-2024
13,Bhopal,Patel Villa,Bhopal Memorial Hospital,BrightLabs,Biotechnology,08-05-2024
14,Coimbatore,Kumar Residence,GKNM Hospital,Swift Solutions,Automotive,08-05-2024
15,Indore,Jain House,Bombay Hospital,HealthVista,Telemedicine,08-05-2024
16,Mumbai,Shah House,Lilavati Hospital,TechCraft,Software Development,08-05-2024
17,Delhi,Sharma Residence,Sir Ganga Ram Hospital,DataGenius,Data Science,08-05-2024
18,Bangalore,Reddy House,Columbia Asia Hospital,TechFusion,IT Services,08-05-2024
19,Kolkata,Sen Mansion,Bellevue Clinic,Innovate Labs,Research,08-05-2024
20,Hyderabad,Rao Villa,Care Hospitals,GreenTech,Environmental Tech,08-05-2024
21,Chennai,Kumar House,MIOT International,HealthTech Inc.,Healthcare,08-05-2024
22,Pune,Deshpande Home,Jehangir Hospital,FutureTech,Technology,08-05-2024
23,Ahmedabad,Patel Mansion,HCG Cancer Centre,BioSolutions,Biotechnology,08-05-2024
24,Jaipur,Sharma Villa,SMS Hospital,Visionary IT,IT Consultancy,08-05-2024
25,Chandigarh,Verma House,Post Graduate Institute of Medical Education and Research,MediTech,Medical Technology,08-05-2024
26,Lucknow,Singh Mansion,Vivekananda Polyclinic,HealthCo,Healthcare,08-05-2024
27,Kochi,Menon House,Medical Trust Hospital,TechBridge,Software Development,08-05-2024
28,Bhopal,Dubey Villa,Bansal Hospital,GreenLife,Renewable Energy,08-05-2024
29,Coimbatore,Raju Residence,Kovai Medical Center,DataPulse,Data Analysis,08-05-2024
30,Indore,Mishra House,CHL Hospitals,InnovateTech,Technology,08-05-2024
31,Surat,Patel Mansion,Sunshine Global Hospital,FoodTech Inc.,Food Technology,08-05-2024
32,Nagpur,Joshi Villa,Orange City Hospital,MedInnovate,Medical Technology,08-05-2024
33,Visakhapatnam,Reddy House,SevenHills Hospital,TechNex,IT Services,08-05-2024
34,Ludhiana,Singh Residence,Dayanand Medical College & Hospital,DataTrack,Data Management,08-05-2024
35,Kanpur,Gupta Villa,Rama Super Specialty Hospital,GreenAgro,Agriculture,08-05-2024
36,Allahabad,Mishra Mansion,Jeevan Jyoti Hospital,CareTech,Healthcare,08-05-2024
37,Varanasi,Tiwari House,Heritage Hospital,InfraVision,Construction,08-05-2024
38,Agra,Verma Villa,Pushpanjali Hospital,TechSavvy,Technology,08-05-2024
39,Faridabad,Malhotra House,Asian Institute of Medical Sciences,BioGenius,Biotechnology,08-05-2024
40,Ghaziabad,Sharma Residence,Yashoda Super Specialty Hospital,Swift Solutions,Software Development,08-05-2024
41,Noida,Kumar Mansion,Metro Hospitals & Heart Institute,DataCraft,Data Science,08-05-2024
42,Meerut,Jain House,KMC Hospital,HealthCare Solutions,Healthcare,08-05-2024
43,Rajkot,Patel Residence,Sterling Hospital,FutureTech,Technology,08-05-2024
44,Vadodara,Shah Mansion,HCG Cancer Centre,BioMed,Biotechnology,08-05-2024
45,Moradabad,Khan Villa,Star Hospital,TechGenius,IT Services,08-05-2024
46,Gorakhpur,Mishra House,Surya Hospital,GreenPlanet,Environmental Tech,08-05-2024
47,Gurgaon,Gupta House,Artemis Hospital,InnovateLabs,Research,08-05-2024
48,Raipur,Sahu Residence,MMI Narayana Multispeciality Hospital,DataInsights,Data Analytics,08-05-2024
49,Ranchi,Singh Mansion,Raj Hospital,HealthGen,Healthcare,08-05-2024
50,Jodhpur,Patel House,Medipulse Hospital,GreenTech,Renewable Energy,08-05-2024
